ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore,Is_Insolvent,AgeBucket,DTI_Bucket,Log_AnnualIncome,Log_TotalAssets,CreditScore_DTI_interaction,High_MonthlyDebt_to_Income,predicted,prob_approved,correct,error_type
2032-04-12,46,223250,660,0,2,22,67594,108,1,2,1,688,0.1560827997472223,3,1,0.2458394459018353,0,0,1,24,2,3725,469,256099,109183,18604.166666666668,0.9940335501654152,7,146916,0.282594,0.2907893551336786,1771.405104617039,0.1321964669894937,0,49.0,0,46-55,0-0.2,12.316051978012029,12.453323272187616,87.24966821306583,0,1,0.9989586206940998,False,FP
2032-01-08,23,21775,581,0,1,3,67419,36,1,1,0,583,0.1118982210902165,4,1,0.1851569433262797,0,3,0,25,9,1835,408,2123832,34883,1814.5833333333333,0.674315461413908,5,2088949,0.261919,0.2613385112549538,2721.162767774796,1.0,0,44.0,1,<=25,0.75-1.0,9.988563724891248,14.568733033017436,581.0,0,1,0.9974320970125284,False,FP
2053-08-24,36,182157,591,2,3,10,17052,120,1,3,3,330,0.1694612471407446,4,1,0.1905966956394795,0,3,0,28,4,1907,234,118204,17934,15179.75,0.6256214423244023,9,100270,0.276552,0.3258284270619731,482.3753545601472,0.0535170443887512,0,49.0,0,36-45,0-0.2,12.112629721318545,11.680175684243896,31.62857323375196,0,1,0.9950298733411992,False,FP
2041-09-26,49,66523,577,0,3,28,38328,48,0,0,0,650,0.4227482267250078,3,0,0.220334908380966,1,3,0,13,28,10037,78,836578,38702,5543.583333333333,0.7221471708099843,7,797876,0.244828,0.2620398672074623,1296.7194868228728,0.3511662709419971,0,57.0,0,46-55,0.35-0.5,11.10531806379003,13.637076236073463,202.62293833353232,0,1,0.9937577683225972,False,FP
2066-06-29,48,182545,646,0,0,26,28717,120,1,0,3,729,0.2794270761906997,5,0,0.571497175691287,0,0,0,18,1,7932,247,72605,17654,15212.083333333334,0.901899584696801,7,54951,0.260717,0.3097177826179312,777.7233736083049,0.0990477990813205,0,55.0,0,46-55,0-0.2,12.114757475038733,11.192802842026108,63.98487820653304,0,1,0.9931171656832396,False,FP
2037-02-08,58,205849,654,2,0,36,45344,120,1,0,1,639,0.296082110414577,0,0,0.3601118898562942,0,2,0,26,6,12555,576,37343,11046,17154.083333333332,0.7177361505810439,5,26297,0.273344,0.2868117552912904,1151.4175825568625,0.1043726760425474,0,51.0,0,56-65,0-0.2,12.234903027198053,10.527927535086285,68.25973013182599,0,1,0.9926615444878608,False,FP
2019-06-13,43,78910,580,2,3,20,8723,48,2,0,3,241,0.2895714242477795,4,1,0.294661591398324,0,0,0,17,4,2095,120,392577,69909,6575.833333333333,0.8454181988927792,6,322668,0.213723,0.2452366211277802,286.91699673702715,0.0802813833588179,0,52.0,0,36-45,0-0.2,11.276075914099843,12.880490522575831,46.56320234811439,0,1,0.9926484199832266,False,FP
2051-06-27,43,88198,626,0,3,18,42494,84,1,0,0,474,0.2308173207397377,2,1,0.1580962013484371,0,3,0,18,13,3441,1378,460947,120883,7349.833333333333,0.8674319577876407,5,340064,0.254494,0.2559112904203647,1091.7053297143943,0.2130259638151968,0,40.0,0,36-45,0.2-0.35,11.387350904062128,13.04104051735194,133.3542533483132,0,1,0.9875011849119532,False,FP
2067-10-27,50,110692,590,0,0,27,25793,60,1,2,0,721,0.1186472001373046,2,1,0.6805136100496705,0,4,1,23,2,16416,1204,318241,43854,9224.333333333334,0.9186854336785892,6,274387,0.235793,0.2587775384668059,770.3889461021263,0.1616798626208354,0,60.0,0,46-55,0-0.2,11.614515882731704,12.67056737863316,95.39111894629288,0,1,0.9871168822049294,False,FP
2044-01-30,30,81659,569,0,3,7,25648,84,1,3,1,175,0.200897602795872,3,1,0.1731461113946181,1,0,0,15,14,2939,2849,437695,122008,6804.916666666667,0.8018794509316353,5,315687,0.266148,0.2882896071851804,713.2656020778034,0.1305329140074412,0,55.0,0,26-35,0-0.2,11.310319564873566,12.989279884457767,74.27322807023404,0,1,0.9870062833734768,False,FP
2054-10-30,41,126768,658,0,4,18,13475,84,1,0,1,426,0.1601767968350621,1,1,0.2399957109709561,1,1,0,24,1,8529,2561,95829,5783,10564.0,0.8837821913544617,1,90046,0.209475,0.2229183338707311,318.0972384675769,0.0704370729333185,0,57.0,0,36-45,0-0.2,11.75012181160001,11.470331067337808,46.34759399012357,0,1,0.9867580238273505,False,FP
2049-03-21,32,71133,502,0,1,11,36482,84,1,0,2,352,0.5754998016144309,2,0,0.196847524796924,0,1,1,26,4,2443,392,662679,38941,5927.75,0.8487543620283388,6,623738,0.310482,0.3212496068691718,1095.7602961898635,0.2442343715895345,0,52.0,0,26-35,0.2-0.35,11.17232070120899,13.404047498052474,122.60565453794632,0,1,0.9864542808021816,False,FP
2066-02-25,42,172086,537,0,1,24,26745,96,3,1,2,527,0.1489295366272791,4,2,0.4931173407586554,0,2,1,21,7,2055,4416,88732,75394,14340.5,0.9223257954224632,4,13338,0.293245,0.3324834807040731,798.9762944416833,0.0924637421597352,0,60.0,0,36-45,0-0.2,12.05575544186832,11.393387139693978,49.653029539777805,0,1,0.9843605973672416,False,FP
2028-11-05,62,61883,628,0,3,40,14855,60,1,0,1,194,0.0886841015697015,2,4,0.1222561532831849,0,2,0,28,11,16746,1289,407507,11118,5156.916666666667,0.8288321377239181,2,396389,0.205855,0.2358498463918031,423.77721203622616,0.1197958493355964,0,40.0,0,56-65,0-0.2,11.03301694383896,12.91781584337219,75.23179338275453,0,1,0.9838635918167924,False,FP
