,Age,AnnualIncome,CreditScore,Experience,LoanAmount,LoanDuration,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
Age,1.0,0.14477359847110555,0.3232427968850211,0.9829802792421133,-0.007492045440253887,-0.006991944181253704,-0.000286740659876478,0.015684867166473687,-0.0013944636954603578,-0.0010691507820720014,-0.0021648146238801005,0.004438383038398006,0.010816745054711509,-0.003683906875947822,-0.002487468543464003,-0.00013941046798564622,0.004236482432046245,0.010144974024099331,0.012209685392806367,-0.001197270048635484,0.1446338542353076,-0.0056010050486451,-0.0007729672075857354,0.014060929763094481,-0.23899457024106327,-0.20270157154726848,-0.021379789309283255,-0.11179960415675803,0.14102854508347634,-0.16430398958788406
AnnualIncome,0.14477359847110555,1.0,0.10404468144058511,0.14599946461776062,-0.004116121827265819,0.0029718823027439396,-0.0012436282398605597,-0.0010823172422964047,-0.0079349769549015,-0.008174528415041316,-0.00501624952781955,0.001507117733831956,0.00381563697088235,0.004301826734206366,0.0037145711415310745,-0.005364587811513073,-0.0013972769913992399,0.008613390870747573,-0.0051577523832956945,-0.0023531309481670307,0.9899107753669869,-0.01235086409499473,-0.0006095493058122414,-0.004358026087193874,-0.07454870324777874,-0.06383155792880606,-0.004303669871327297,-0.5320327960461293,0.5979001985185184,-0.4832886369721459
CreditScore,0.3232427968850211,0.10404468144058511,1.0,0.32766409843531424,-0.010833752733830259,-0.0007623806006999909,-0.014453485010757631,0.011153373263261067,-0.009649603688149733,-0.008779553304681127,-0.0019275389551134325,0.0019125761128307522,0.008638147668527062,-0.007689772412603959,0.004294508698782175,0.005216607750939993,-0.006316283825556313,0.005514701577497594,0.0013418596483299398,-0.006721520569167004,0.10479616447649483,-0.006837959102610757,0.008068854578581693,0.001950996321403235,-0.7226185591437013,-0.5988444601001294,-0.06393170792451,-0.11536283739121037,0.1420003687024605,-0.24019812662012927
Experience,0.9829802792421133,0.14599946461776062,0.32766409843531424,1.0,-0.00792103033992374,-0.00792398521382356,0.00013586315668319478,0.01862868348772296,-0.0017509851370735555,-0.0021431512677097713,-0.002904596823596682,0.003138880718223454,0.009599857078624154,-0.002459312501268119,-0.0033464533915884206,-0.001131882224060504,0.005875693222588037,0.00929164282964137,0.013074027515238092,-0.00044889392261399677,0.1459495036610223,-0.0066033722302569695,-0.0007618944693697519,0.015048947467139048,-0.2428711315667396,-0.20625165841905943,-0.02169083692074654,-0.11282465716490317,0.14075515432839614,-0.16649648754226765
LoanAmount,-0.007492045440253887,-0.004116121827265819,-0.010833752733830259,-0.00792103033992374,1.0,-0.0004361812964451346,-0.007005092817732208,0.021103090350885607,0.0008055493388492413,0.0007690547765627276,-0.0062394925541588726,-0.00957709686383536,0.004843643990625929,-0.0023521903292126065,-0.0028110576067719288,0.000580337358174352,0.0014886500937939398,0.005408260213502499,-0.00423758968728459,0.000501962390343352,-0.005407243517132589,-0.012107071140241633,0.005364495470400485,-0.0036786603769580484,0.38566313861014,0.3228237474336499,0.7808278281607225,0.4571751916602651,-0.23949552245259143,0.13798065780203436
LoanDuration,-0.006991944181253704,0.0029718823027439396,-0.0007623806006999909,-0.00792398521382356,-0.0004361812964451346,1.0,-0.0013010752500540164,6.839691836067992e-05,-0.0061603860598021766,0.0014892343021203147,0.0009776876228496441,0.0019128385848445853,-0.0004342802869760874,0.015646326549146303,0.0019829242310532846,0.013693008597133044,0.0015788410196330668,-0.0028324660279996318,-0.00829654882888148,0.003667927123178909,0.0030667318350155763,-0.0101052834529024,0.003635260455464525,-0.008779260967627758,0.5792149916757651,0.4879937759785571,-0.3854947632919072,-0.2139843703335834,-0.09455826074209174,0.054550282043170556
NumberOfDependents,-0.000286740659876478,-0.0012436282398605597,-0.014453485010757631,0.00013586315668319478,-0.007005092817732208,-0.0013010752500540164,1.0,-0.0023957758733416847,0.01154408420729587,0.0060334334099412254,-0.003748687245182971,-0.007980771611272251,-0.001154121558627002,0.006116010759534962,0.001281405949665917,0.002704731616080067,-0.0020799145433450564,0.0024854222611448637,-0.006283707726647286,0.009941759062376829,-0.000413762442539002,0.008735452588113094,0.010909877102212332,-0.008423483555505915,0.006976784567450624,0.006749425385769789,-0.0013900851945685777,-0.000358029879034331,0.0017173109242089694,0.0016864768286203506
MonthlyDebtPayments,0.015684867166473687,-0.0010823172422964047,0.011153373263261067,0.01862868348772296,0.021103090350885607,6.839691836067992e-05,-0.0023957758733416847,1.0,0.0054196584916660065,0.006280167634455858,0.009888532143263122,0.0012054334989077067,-0.007493488263858251,0.00271338278730579,-0.003347394176586332,-0.00411514142638246,-0.004223024435330079,0.0019094634797555288,0.0030700865263305396,-0.004211329513183424,-0.000355806323560851,0.0016381348765455563,0.005862950006420617,0.0044300297674631384,1.040941738324425e-05,0.0038951383716871475,0.018020533461376866,0.21945323181547421,-0.07041474221981364,0.03693796593010322
CreditCardUtilizationRate,-0.0013944636954603578,-0.0079349769549015,-0.009649603688149733,-0.0017509851370735555,0.0008055493388492413,-0.0061603860598021766,0.01154408420729587,0.0054196584916660065,1.0,0.0014908108956952896,0.0017077835586157928,0.0022306227948983006,0.010892259143077794,-0.004449808900287448,0.004516681718264235,0.007446072378671114,0.004025720511241414,-0.0021146424196191687,-0.005046680317167465,-0.007778474810730612,-0.009380569602983599,0.013039901823617186,-0.00697875609593762,-0.003506366869664516,0.003667969317243246,0.001030214365016421,0.0043661172469982475,0.010490273157735834,-0.010465978638292009,0.10875836392268476
NumberOfOpenCreditLines,-0.0010691507820720014,-0.008174528415041316,-0.008779553304681127,-0.0021431512677097713,0.0007690547765627276,0.0014892343021203147,0.0060334334099412254,0.006280167634455858,0.0014908108956952896,1.0,0.000445564496929644,0.004362521671662948,-0.0016117845053835425,0.012599710892799886,0.002387505621838243,0.0036533902389124253,0.009166763127010374,-0.005282246853050827,-0.003895656346334625,-0.008406441417900189,-0.008050102402030008,-0.010497073124401407,0.00729751142931602,-0.002013215995717836,0.007457251774225164,0.008090056391897362,-0.005058344056083325,0.003470514587338513,-0.004768526667523048,0.007762031159543937
