ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore,outlier_col,outlier_threshold
2018-02-24,52,272693,586,Employed,Bachelor,28,19717,84,Married,0,Rent,278,0.3724747249366798,2,2,0.2701575024326625,0,Auto,0,19,13,801,1835,94338,5443,22724.416666666668,0.7444943912584154,8,88895,0.251717,0.2181145262191699,459.5963314611698,0.0324583175128589,1,38.400000000000006,AnnualIncome,220564.8542234464
2018-06-12,53,259639,545,Employed,Associate,29,39203,12,Single,3,Rent,189,0.4386562711710819,2,0,0.2159059871988357,0,Debt Consolidation,0,26,18,21809,322,22131,31385,21636.58333333333,0.6294477479731049,3,2180,0.231703,0.2082674307613362,3647.08023469859,0.1772960256986935,1,40.8,AnnualIncome,220564.8542234464
2018-09-14,55,300000,509,Employed,Bachelor,32,18698,36,Married,3,Mortgage,1099,0.4277876848852618,2,0,0.0817340523215344,0,Other,1,26,5,8564,5654,239980,27790,25000.0,0.7676418028148881,7,212190,0.249198,0.2064501955013329,701.0451019582598,0.0720018040783303,1,42.400000000000006,AnnualIncome,220564.8542234464
2019-07-07,54,274161,595,Employed,Master,31,28413,60,Single,2,Mortgage,206,0.5079135660924881,3,1,0.5100979931095507,0,Other,0,20,24,4054,7205,89696,4332,22846.75,0.8911093576883087,3,85364,0.2359129999999999,0.2023812444574068,756.5402747224744,0.0421302931367688,1,44.0,AnnualIncome,220564.8542234464
2019-07-23,18,227026,570,Employed,Master,0,21516,60,Divorced,0,Rent,357,0.26717556075647,1,1,0.1172100437369657,1,Debt Consolidation,0,20,27,1273,241,7370,17832,18918.83333333333,0.8605271988740972,2,5641,0.241516,0.2441451034405381,624.1590718702527,0.0518614998389745,1,48.0,AnnualIncome,220564.8542234464
2020-06-22,55,262144,575,Employed,Bachelor,35,10795,48,Married,0,Rent,561,0.162445450074351,2,0,0.3386052197166183,0,Auto,0,18,14,1814,491,104590,6540,21845.33333333333,0.5574922647370455,4,98050,0.218295,0.2186694348420965,339.3288047424316,0.0412137819553725,1,39.2,AnnualIncome,220564.8542234464
2020-08-12,39,233389,613,Employed,Bachelor,17,10552,72,Single,4,Rent,918,0.1106381331026723,2,0,0.0823315296958487,0,Auto,0,23,3,2057,1298,92685,14720,19449.08333333333,0.9350543886902076,4,77965,0.219052,0.2166133557586836,263.0138578766682,0.0607233686871275,1,36.0,AnnualIncome,220564.8542234464
2021-04-12,46,257997,596,Employed,Master,23,47793,120,Married,2,Mortgage,409,0.3497291226454658,3,0,0.2696218089837012,0,Auto,0,29,16,2948,2325,8163,36629,21499.75,0.6922588849405222,8,9562,0.304793,0.3372571708238981,1393.278189439612,0.0838278672747177,1,40.0,AnnualIncome,220564.8542234464
2021-07-22,43,300000,607,Employed,Bachelor,16,29361,60,Married,3,Mortgage,104,0.7397513296179165,2,0,0.1744175879901433,1,Debt Consolidation,1,26,15,1514,786,105193,123162,25000.0,0.8926459884641812,5,3822,0.2308609999999999,0.2471091431895173,856.8151961735593,0.0384326078469423,1,52.0,AnnualIncome,220564.8542234464
2021-09-06,51,300000,563,Employed,Master,30,12314,36,Married,0,Rent,476,0.3479042306528015,3,0,0.5598476313203825,0,Debt Consolidation,1,21,25,722,1922,72516,1213,25000.0,0.8922517732874867,5,71303,0.2158139999999999,0.2185908735595941,469.3800444251178,0.0378152017770047,1,48.0,AnnualIncome,220564.8542234464
2022-01-22,60,224926,645,Employed,High School,35,17157,60,Married,2,Mortgage,307,0.4070504435580913,4,2,0.5765548184361535,0,Other,0,28,9,2494,516,9739,18542,10017.666666666666,0.743135542056778,10,5322,0.199657,0.2079283549860223,462.1573364114803,0.0767800888175703,1,44.0,AnnualIncome,220564.8542234464
